message_id,user_id,user_is_bot,user_first_name,chat_id,chat_type,text,date,context_date
1,5,True,Sara,123456789,group,Resposta 1 da simulação,1762010785,2025-11-01
2,43,False,Olivia,123456789,group,Mensagem de teste número 2,1762013525,2025-11-01
3,27,True,Nicolas,123456789,group,Comentário rápido 3,1762278343,2025-11-04
4,40,False,Lucas,123456789,group,Detalhe técnico 4 no pipeline,1761969027,2025-11-01
5,26,False,Felipe,123456789,group,Resposta 5 da simulação,1762318546,2025-11-05
6,33,False,Paulo,123456789,group,Mensagem de teste número 6,1762025546,2025-11-01
7,23,False,Paulo,123456789,group,"Olá, esta é a mensagem 7",1762050833,2025-11-02
8,4,True,Marina,123456789,group,Mensagem de teste número 8,1762197397,2025-11-03
9,9,True,Hugo,123456789,group,Resposta 9 da simulação,1762100464,2025-11-02
10,49,False,Bruno,123456789,group,Mensagem de teste número 10,1762292446,2025-11-04
11,38,False,Tiago,123456789,group,Mensagem curta 11,1762158509,2025-11-03
12,3,False,Marina,123456789,group,Resposta 12 da simulação,1762141480,2025-11-03
13,47,False,Nicolas,123456789,group,Comentário rápido 13,1761987504,2025-11-01
14,17,True,Karen,123456789,group,Resposta 14 da simulação,1761984268,2025-11-01
15,40,False,Felipe,123456789,group,Discussão sobre o projeto 15,1762340861,2025-11-05
16,24,False,Carla,123456789,group,Conversa aleatória 16,1762234420,2025-11-04
17,48,False,Nicolas,123456789,group,Mensagem de teste número 17,1762314577,2025-11-05
18,36,False,Karen,123456789,group,Mensagem de teste número 18,1762069609,2025-11-02
19,22,True,Carla,123456789,group,"Olá, esta é a mensagem 19",1762115033,2025-11-02
20,15,False,Queila,123456789,group,Resposta 20 da simulação,1762187888,2025-11-03
21,42,False,Felipe,123456789,group,Mensagem de teste número 21,1762196447,2025-11-03
22,40,True,Paulo,123456789,group,Simulação de chat: linha 22,1762010922,2025-11-01
23,14,True,Carla,123456789,group,Discussão sobre o projeto 23,1762176450,2025-11-03
24,29,False,Alice,123456789,group,Comentário rápido 24,1762053246,2025-11-02
25,22,False,Giovana,123456789,group,Mensagem curta 25,1762356531,2025-11-05
26,29,False,Nicolas,123456789,group,Detalhe técnico 26 no pipeline,1762108478,2025-11-02
27,29,False,Alice,123456789,group,Detalhe técnico 27 no pipeline,1762050827,2025-11-02
